length,width,no_of_signs,shape,Sign
88.06,87.13,3,1,Round about
87.23,85.19,3,1,Round about
88.56,87.83,3,1,Round about
89.45,84.65,3,1,Round about
86.94,88.43,3,1,Round about
83.67,82.39,3,1,Round about
85.77,85.63,3,1,Round about
90.39,89.01,3,1,Round about
85.74,83.76,3,1,Round about
89.89,82.3,3,1,Round about
241.88,51.97,2,1,Narrow bridge
239.34,51.24,2,1,Narrow bridge
243.96,53.51,2,1,Narrow bridge
238.37,52.39,2,1,Narrow bridge
241.67,54.27,2,1,Narrow bridge
244.77,48.11,2,1,Narrow bridge
242.09,49.78,2,1,Narrow bridge
246.24,52.98,2,1,Narrow bridge
240.52,55.01,2,1,Narrow bridge
242.13,50.58,2,1,Narrow bridge
95.84,119.21,1,1,service raod on right side
93.1,118.98,1,1,service raod on right side
94.85,116.2,1,1,service raod on right side
96.22,115.27,1,1,service raod on right side
92.19,113.31,1,1,service raod on right side
91.11,111.82,1,1,service raod on right side
91.5,112.71,1,1,service raod on right side
92.85,117.61,1,1,service raod on right side
93,112.71,1,1,service raod on right side
96.69,116.56,1,1,service raod on right side
289.54,234.14,2,2,service raod on both side
289.37,231.54,2,2,service raod on both side
288.21,232.78,2,2,service raod on both side
286.16,234,2,2,service raod on both side
287.87,236.15,2,2,service raod on both side
286.18,235.47,2,2,service raod on both side
289.11,233.42,2,2,service raod on both side
286.98,233.89,2,2,service raod on both side
287.19,236.92,2,2,service raod on both side
285.55,235.19,2,2,service raod on both side
75.23,100.26,1,3,uturn
76.77,98.76,1,3,uturn
75.98,102,1,3,uturn
77.54,97.88,1,3,uturn
74.78,101,1,3,uturn
78.71,100.77,1,3,uturn
79.69,99.84,1,3,uturn
76.95,99.04,1,3,uturn
79.32,98.21,1,3,uturn
77.14,97.61,1,3,uturn
